Company_Name,Date,Sales,Expenses,Operating_Profits,Net_Profit,Other_Income,Interest,Depriciation,Profit_Before_Tax,Tax_Percent,OPM_Percent,Divident_Payout,EPS,prev_price,prev_eps,Price
ACC,Mar-11,8181,6599,1582,1078,319,58,428,1415,24%,19%,53%,57.39,559,83.3,989
ACC,Mar-12,10153,8232,1921,1301,191,97,510,1505,14%,19%,40%,69.29,989,57.39,1088
ACC,Mar-13,11275,9078,2197,1059,-72,115,569,1441,27%,19%,53%,56.42,1088,69.29,1207
ACC,Mar-14,11062,9416,1646,1095,265,114,584,1214,11%,15%,52%,58.31,1207,56.42,1452
ACC,Mar-15,11646,10116,1529,1162,241,83,568,1120,-3%,13%,55%,61.88,1452,58.31,1407
ACC,Mar-16,11706,10123,1583,588,-90,65,663,766,25%,14%,54%,31.3,1407,61.88,1595
ACC,Mar-17,10990,9532,1458,658,115,79,609,885,26%,13%,49%,35.06,1595,31.3,1380
ACC,Mar-18,13285,11370,1915,924,137,99,644,1310,29%,14%,53%,49.23,1380,35.06,1440
ACC,Mar-19,14802,12754,2048,1520,153,88,603,1510,-1%,14%,17%,80.97,1440,49.23,1857
ACC,Mar-20,15658,13245,2413,1377,332,86,606,2053,33%,15%,19%,73.35,1857,80.97,1516
ACC,Mar-21,13786,11431,2355,1430,50,57,639,1709,16%,17%,18%,76.16,1516,73.35,1579
ADANIENT,Mar-11,26405,22317,4088,2476,377,634,559,3273,14%,15%,4%,22.51,73,17.37,95
ADANIENT,Mar-12,39356,34355,5001,1839,545,1826,1224,2496,19%,13%,6%,16.72,95,22.51,64
ADANIENT,Mar-13,46375,40354,6021,1613,1775,3492,2298,2005,39%,13%,10%,14.67,64,16.72,40
ADANIENT,Mar-14,54947,45564,9383,2221,1157,5703,3223,1614,-64%,17%,7%,20.19,40,14.67,53
ADANIENT,Mar-15,64465,52015,12450,1948,792,7056,3522,2663,14%,19%,8%,17.71,53,20.19,91
ADANIENT,Mar-16,34008,32325,1684,1011,1044,1357,314,1056,7%,5%,4%,9.19,91,17.71,65
ADANIENT,Mar-17,36533,34631,1902,988,749,1257,315,1079,25%,5%,4%,8.98,65,9.19,66
ADANIENT,Mar-18,35924,33886,2038,757,363,1250,664,487,23%,6%,6%,6.89,66,8.98,156
